paper,unit,subtopic,difficulty,marks_type,question,option1,option2,option3,option4,correct_answer
Paper 1,Research Aptitude,Research Ethics,Medium,50,Plagiarism means,Original work,Copying without credit,Survey method,Data collection,Copying without credit
Paper 1,Communication,Types of Communication,Easy,15,Non verbal communication includes,Speech,Gestures,Writing,Email,Gestures
Paper 1,Communication,Barriers of Communication,Medium,50,Noise in communication is,Clarity,Disturbance,Feedback,Message,Disturbance
Paper 1,Mathematical Reasoning,Percentage & Ratio,Easy,15,25 percent of 200 is,25,50,75,100,50
Paper 1,Mathematical Reasoning,Time & Work,Medium,50,If A completes work in 10 days then one day work is,1 by 5,1 by 10,10,5,1 by 10
Paper 1,Logical Reasoning,Arguments & Fallacies,Medium,50,Valid argument requires,True conclusion,Proper structure,Long answer,Opinion,Proper structure
Paper 1,Logical Reasoning,Venn Diagram,Easy,15,Venn diagram represents,Tables,Logical relations,Graphs,Numbers,Logical relations
Paper 1,Data Interpretation,Graph Interpretation,Easy,15,Bar graph represents,Comparison,Proof,Theory,Essay,Comparison
Paper 1,Data Interpretation,Caselet DI,Medium,50,Data interpretation requires,Guessing,Calculation and analysis,Opinion,Memory,Calculation and analysis
Paper 1,ICT,Internet & Digital Initiatives,Easy,15,ICT stands for,Information and Communication Technology,Indian Computer Test,Internet Coding Tool,Information Channel Tech,Information and Communication Technology
Paper 1,ICT,ICT & Governance,Medium,50,E governance improves,Transparency,Pollution,Inflation,Migration,Transparency
Paper 1,People & Environment,Sustainable Development,Easy,15,Sustainable development means,Future harm,Balanced growth,Industrial only,Rural only,Balanced growth
Paper 1,People & Environment,Climate Change,Medium,50,Greenhouse gas mainly responsible is,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Paper 1,Higher Education System,Education Policies,Medium,50,NEP 2020 focuses on,Multidisciplinary education,Only science,Only arts,Only commerce,Multidisciplinary education
Paper 1,Higher Education System,Governance & Administration,PYQ,100,UGC regulates,Higher education,Railways,Banking,Agriculture,Higher education
Paper 1,Research Aptitude,Sampling Methods,Medium,50,Random sampling ensures,Bias,Equal chance,Confusion,Error,Equal chance
Paper 1,Teaching Aptitude,Evaluation Systems,Medium,50,Formative evaluation is conducted,End of course,During learning,After exam,Once only,During learning
Economics,Microeconomics,Consumer Behaviour,Easy,15,Income effect measures,Change in demand due to income,Change in price,Change in cost,Change in supply,Change in demand due to income
Economics,Microeconomics,Consumer Behaviour,Medium,50,Substitution effect occurs when,Price changes,Income changes,Technology changes,Supply changes,Price changes
Economics,Microeconomics,Consumer Behaviour,PYQ,100,Giffen good violates,Law of supply,Law of demand,Elasticity,Utility maximization,Law of demand
Economics,Microeconomics,Elasticity of Demand,Easy,15,Unitary elastic demand means,Ed=0,Ed=1,Ed>1,Ed<1,Ed=1
Economics,Microeconomics,Elasticity of Demand,Medium,50,Cross elasticity measures,Own price change,Income change,Price of related goods,Supply change,Price of related goods
Economics,Microeconomics,Production & Cost,Easy,15,Marginal cost is,Change in output,Change in cost per unit,Change in total cost,Fixed cost,Change in total cost
Economics,Microeconomics,Production & Cost,PYQ,100,Returns to scale relate to,Short run,Long run,Market,Price,Long run
Economics,Microeconomics,Market Structures,Easy,15,Price taker is,Monopoly,Firm in perfect competition,Oligopoly,Duopoly,Firm in perfect competition
Economics,Microeconomics,Market Structures,Medium,50,Kinked demand curve relates to,Monopoly,Oligopoly,Perfect competition,Duopoly,Oligopoly
Economics,Microeconomics,Market Structures,PYQ,100,Third degree price discrimination requires,Different costs,Market segmentation,High taxes,Subsidy,Market segmentation
Economics,Microeconomics,Welfare Economics,Easy,15,Externality means,Private benefit,Third party effect,Government policy,Tax,Third party effect
Economics,Microeconomics,Welfare Economics,Medium,50,Pigovian tax corrects,Inflation,Externality,Monopoly power,Unemployment,Externality
Economics,Microeconomics,General Equilibrium,Medium,50,Walrasian equilibrium implies,Partial market,All markets clear,Single buyer,Single seller,All markets clear
Economics,Microeconomics,Game Theory,Medium,50,Prisoner dilemma shows,Cooperation dominates,Defection dominates,Random choice,Zero payoff,Defection dominates
Economics,Microeconomics,Factor Pricing,Easy,15,Rent theory is associated with,Ricardo,Keynes,Marshall,Fisher,Ricardo
Economics,Microeconomics,Factor Pricing,Medium,50,Monopsony affects,Wages only,Single buyer labor market,Single seller,Many buyers,Single buyer labor market
Economics,Microeconomics,Cost Theory,Medium,50,Economies of scale reduce,Average cost,Marginal revenue,Price,Profit,Average cost
Economics,Microeconomics,Cost Theory,PYQ,100,L shaped cost curve relates to,Modern theory,Classical theory,Keynesian theory,Game theory,Modern theory
Economics,Microeconomics,Consumer Behaviour,Medium,50,Revealed preference theory given by,Hicks,Samuelson,Marshall,Keynes,Samuelson
Economics,Microeconomics,Welfare Economics,PYQ,100,First welfare theorem applies under,Monopoly,Perfect competition,Oligopoly,Government control,Perfect competition
Paper 1,Teaching Aptitude,Teaching Concept & Objectives,Easy,15,Teaching objective should be,Clear and measurable,Vague,Hidden,Flexible only,Clear and measurable
Paper 1,Teaching Aptitude,Levels of Teaching,Medium,50,Understanding level focuses on,Memory only,Concept clarity,Repetition,Silence,Concept clarity
Paper 1,Research Aptitude,Research Methods,Easy,15,Experimental research studies,Cause effect relation,Opinion,History only,Survey only,Cause effect relation
Paper 1,Research Aptitude,Sampling Methods,Medium,50,Stratified sampling divides population into,Random groups,Strata,Clusters,None,Strata
Paper 1,Communication,Interpersonal Communication,Easy,15,Two way communication includes,Feedback,Silence,Noise,Barrier,Feedback
Paper 1,Communication,Mass Media & Society,Medium,50,Mass communication reaches,One person,Large audience,Teacher only,Student only,Large audience
Paper 1,Mathematical Reasoning,Average,Easy,15,Average of 2 and 4 is,2,3,4,5,3
Paper 1,Mathematical Reasoning,Profit & Loss,Medium,50,Profit percent formula is,Profit divided by cost times 100,Profit minus cost,Cost divided by profit,Revenue minus tax,Profit divided by cost times 100
Paper 1,Logical Reasoning,Syllogism,Easy,15,All A are B some B are C conclusion depends on,Premises only,Assumption,Opinion,Emotion,Premises only
Paper 1,Logical Reasoning,Indian Logic,Medium,50,Pramana refers to,Proof,Argument,Source of knowledge,Opinion,Source of knowledge
Paper 1,Data Interpretation,Tables,Easy,15,Tabular data shows,Structured numbers,Essay,Theory,Opinion,Structured numbers
Paper 1,Data Interpretation,Graphs,Medium,50,Line graph shows,Trend over time,Static data,Opinion,Memory,Trend over time
Paper 1,ICT,Computer Basics,Easy,15,CPU stands for,Central Processing Unit,Control Panel Unit,Central Print Unit,Core Processing Unit,Central Processing Unit
Paper 1,ICT,Digital Learning,Medium,50,MOOC stands for,Massive Open Online Course,Multiple Offline Course,Modern Online Course,Massive Offline Course,Massive Open Online Course
Paper 1,People & Environment,Pollution,Easy,15,Air pollution mainly caused by,Industries only,Vehicle emissions,Water bodies,Solar energy,Vehicle emissions
Paper 1,People & Environment,Biodiversity,Medium,50,Biodiversity hotspot means,Low species area,High species area,Desert only,Urban area,High species area
Paper 1,Higher Education System,Ancient Education,Easy,15,Nalanda was,University,River,Kingdom,Book,University
Paper 1,Higher Education System,Governance,Medium,50,NAAC assesses,Schools,Banks,Higher education institutions,Industries,Higher education institutions
Paper 1,Research Aptitude,Research Ethics,PYQ,100,Fabrication of data is,Ethical practice,Research misconduct,Innovation,Survey method,Research misconduct
Paper 1,Teaching Aptitude,Evaluation Systems,PYQ,100,Summative evaluation occurs,During learning,End of course,Beginning only,Daily only,End of course
Economics,Microeconomics,Consumer Behaviour,Easy,15,An indifference curve shows combinations of goods that yield,Same income,Same price,Same utility,Same cost,Same utility
Economics,Microeconomics,Consumer Behaviour,Easy,15,If marginal utility is zero then total utility is,Maximum,Minimum,Negative,Zero,Maximum
Economics,Microeconomics,Consumer Behaviour,Easy,15,Budget line slope represents,Income ratio,Price ratio,Utility ratio,Cost ratio,Price ratio
Economics,Microeconomics,Consumer Behaviour,Easy,15,Consumer equilibrium under cardinal utility occurs when,MU=0,MU/P equal across goods,Price=Income,TC=TR,MU/P equal across goods
Economics,Microeconomics,Consumer Behaviour,Easy,15,Diminishing marginal utility explains,Downward sloping supply,Downward sloping demand,Upward cost,Perfect competition,Downward sloping demand
Economics,Microeconomics,Consumer Behaviour,Medium,50,If price of X falls substitution effect leads to,More X consumption,Less X consumption,No change,More Y consumption,More X consumption
Economics,Microeconomics,Consumer Behaviour,Medium,50,Giffen good has income effect that is,Positive and dominant,Negative and dominant,Zero,Constant,Positive and dominant
Economics,Microeconomics,Consumer Behaviour,Medium,50,Revealed preference theory assumes,Cardinal utility,Ordinal utility,Utility measurable,Constant income,Ordinal utility
Economics,Microeconomics,Consumer Behaviour,Medium,50,Slutsky equation decomposes price effect into,Income and substitution,Cost and revenue,Supply and demand,Utility and income,Income and substitution
Economics,Microeconomics,Consumer Behaviour,Medium,50,Normal good has income elasticity,Negative,Zero,Positive,Infinite,Positive
Economics,Microeconomics,Consumer Behaviour,PYQ,100,For inferior goods income effect is,Positive,Negative,Zero,Infinite,Negative
Economics,Microeconomics,Consumer Behaviour,PYQ,100,Hicksian demand curve holds constant,Money income,Real income,Utility level,Price of Y,Utility level
Economics,Microeconomics,Consumer Behaviour,PYQ,100,If MRS equals price ratio consumer is,Not optimal,At equilibrium,Over spending,Under consuming,At equilibrium
Economics,Microeconomics,Consumer Behaviour,PYQ,100,Compensating variation measures change in,Utility,Income needed to maintain utility,Price only,Cost only,Income needed to maintain utility
Economics,Microeconomics,Consumer Behaviour,PYQ,100,A convex indifference curve implies,Diminishing MRS,Increasing MRS,Constant MRS,Perfect substitute,Diminishing MRS
Economics,Microeconomics,Production & Cost,Easy,15,Short run production assumes,All factors variable,All factors fixed,At least one fixed factor,No production,At least one fixed factor
Economics,Microeconomics,Production & Cost,Easy,15,Law of variable proportions applies in,Short run,Long run,Monopoly,Perfect competition,Short run
Economics,Microeconomics,Production & Cost,Easy,15,Total cost equals,Fixed cost plus variable cost,Marginal cost plus average cost,Revenue minus profit,Output times price,Fixed cost plus variable cost
Economics,Microeconomics,Production & Cost,Easy,15,Average fixed cost curve is,Upward sloping,Downward sloping,Horizontal,Vertical,Downward sloping
Economics,Microeconomics,Production & Cost,Easy,15,Marginal cost is change in,Total revenue,Total cost per extra unit,Average cost,Fixed cost,Total cost per extra unit
Economics,Microeconomics,Production & Cost,Medium,50,When marginal product rises marginal cost,Increases,Decreases,Remains constant,Becomes zero,Decreases
Economics,Microeconomics,Production & Cost,Medium,50,Returns to scale relate to,Short run only,Long run only,Market structure,Consumer theory,Long run only
Economics,Microeconomics,Production & Cost,Medium,50,Minimum point of AC curve occurs where,MC=AC,MC greater than AC,MC less than AC,AC zero,MC=AC
Economics,Microeconomics,Production & Cost,Medium,50,Expansion path shows,Cost curve,Least cost combinations,Output curve,Revenue curve,Least cost combinations
Economics,Microeconomics,Production & Cost,Medium,50,If all inputs double and output more than doubles it is,Constant returns,Increasing returns,Decreasing returns,Negative returns,Increasing returns
Economics,Microeconomics,Production & Cost,PYQ,100,Envelope curve refers to,Long run average cost,Short run AC,Total cost curve,Marginal revenue,Long run average cost
Economics,Microeconomics,Production & Cost,PYQ,100,Shutdown point occurs where,Price equals MC,Price equals AVC,MC equals AC,Price equals ATC,Price equals AVC
Economics,Microeconomics,Production & Cost,PYQ,100,If MC lies below AC then AC will,Increase,Decrease,Remain constant,Be zero,Decrease
Economics,Microeconomics,Production & Cost,PYQ,100,Economies of scale arise due to,Better specialization,Law of demand,Consumer surplus,Elasticity,Better specialization
Economics,Microeconomics,Production & Cost,PYQ,100,Modern cost theory suggests AC curve is,U shaped,L shaped,Vertical,Linear,L shaped
Economics,Microeconomics,Market Structures,Easy,15,In perfect competition AR and MR are,Equal,Not equal,Inverse,Zero,Equal
Economics,Microeconomics,Market Structures,Easy,15,A monopolist is,Price taker,Price maker,Cost taker,Revenue taker,Price maker
Economics,Microeconomics,Market Structures,Easy,15,Under perfect competition long run profit is,Supernormal,Normal,Loss only,Zero revenue,Normal
Economics,Microeconomics,Market Structures,Easy,15,Monopolistic competition features,Homogeneous product,Differentiated product,Single firm,No entry,Differentiated product
Economics,Microeconomics,Market Structures,Easy,15,Barriers to entry are highest in,Perfect competition,Monopoly,Monopolistic competition,Duopoly,Monopoly
Economics,Microeconomics,Market Structures,Medium,50,For a monopolist MR curve lies,Below AR,Above AR,Equal to AR,Vertical,Below AR
Economics,Microeconomics,Market Structures,Medium,50,In Cournot model firms compete on,Price,Quantity,Advertising,Cost,Quantity
Economics,Microeconomics,Market Structures,Medium,50,In Bertrand model equilibrium price equals,Marginal cost,Average cost,Maximum price,Monopoly price,Marginal cost
Economics,Microeconomics,Market Structures,Medium,50,Kinked demand curve explains,Price rigidity,Perfect competition,Free entry,Price discrimination,Price rigidity
Economics,Microeconomics,Market Structures,Medium,50,Third degree price discrimination requires,Different markets,Identical buyers,Free resale,Single price,Different markets
Economics,Microeconomics,Market Structures,PYQ,100,Deadweight loss under monopoly arises due to,Underproduction,Overproduction,Excess supply,Zero profit,Underproduction
Economics,Microeconomics,Market Structures,PYQ,100,First degree price discrimination captures,Partial surplus,None,Entire consumer surplus,Producer loss,Entire consumer surplus
Economics,Microeconomics,Market Structures,PYQ,100,Stackelberg model assumes,Simultaneous move,Leader follower behavior,Random pricing,Price war,Leader follower behavior
Economics,Microeconomics,Market Structures,PYQ,100,Long run equilibrium of monopolistic competition implies,Excess capacity,Full capacity,Supernormal profit,Zero cost,Excess capacity
Economics,Microeconomics,Market Structures,PYQ,100,If demand is perfectly elastic monopoly power is,Maximum,Zero,Infinite,Undefined,Zero
Economics,Microeconomics,Welfare Economics,Easy,15,Pareto improvement makes,At least one better without harming others,Everyone equal,Government richer,Firms profitable,At least one better without harming others
Economics,Microeconomics,Welfare Economics,Easy,15,Pareto optimality implies,Maximum equality,No further Pareto improvements possible,Zero inequality,Maximum revenue,No further Pareto improvements possible
Economics,Microeconomics,Welfare Economics,Easy,15,Externality is,Private benefit only,Third party effect,Government tax only,Monopoly pricing,Third party effect
Economics,Microeconomics,Welfare Economics,Easy,15,Public goods are,Excludable and rival,Non rival and non excludable,Private goods,Club goods only,Non rival and non excludable
Economics,Microeconomics,Welfare Economics,Easy,15,Pigovian tax aims to,Increase inflation,Correct negative externality,Increase profit,Reduce supply only,Correct negative externality
Economics,Microeconomics,Welfare Economics,Medium,50,Kaldor Hicks criterion allows compensation,Actual only,Hypothetical,No compensation,Equal redistribution,Hypothetical
Economics,Microeconomics,Welfare Economics,Medium,50,Second welfare theorem states,Markets always fail,Equity achieved automatically,Efficient allocation can be separated from distribution,Taxes are unnecessary,Efficient allocation can be separated from distribution
Economics,Microeconomics,Welfare Economics,Medium,50,Coase theorem works best when,Transaction cost high,Transaction cost zero,Government intervention high,Information imperfect,Transaction cost zero
Economics,Microeconomics,Welfare Economics,Medium,50,Samuelson condition relates to,Private goods,Public goods provision,Monopoly pricing,Cost curves,Public goods provision
Economics,Microeconomics,Welfare Economics,Medium,50,Social welfare function combines,Individual utilities,Only income levels,Government revenue,Firm output,Individual utilities
Economics,Microeconomics,Welfare Economics,PYQ,100,Arrow impossibility theorem shows that,Perfect voting system exists,No social choice rule satisfies all fairness conditions,Markets fail always,Monopoly is efficient,No social choice rule satisfies all fairness conditions
Economics,Microeconomics,Welfare Economics,PYQ,100,First welfare theorem holds under,Perfect competition with no externalities,Monopoly with tax,Oligopoly,Government control,Perfect competition with no externalities
Economics,Microeconomics,Welfare Economics,PYQ,100,Negative externality leads to,Overproduction,Underproduction,Efficient output,Zero output,Overproduction
Economics,Microeconomics,Welfare Economics,PYQ,100,Lindahl pricing applies to,Private goods,Public goods,Monopoly goods,Inferior goods,Public goods
Economics,Microeconomics,Welfare Economics,PYQ,100,Market failure occurs when,Price equals MC,Resources allocated efficiently,Private cost differs from social cost,Perfect information exists,Private cost differs from social cost
